,count
保护地球 保护海洋！！！保护地球 保护海洋！！！保护地球 保护海洋！！！保护地球 保护海洋！！！保护地球 保护海洋！！！,17
哈哈哈哈哈,17
哥斯拉,17
禁止一切日本食品流入中国,17
加热度加热度加热度加热度加热度加热度加热度,17
。。。,17
坚决抵制日本核废水排海！守护地球！,17
抵制日本,17
坚决抵制排放核污水,17
我们联合,17
《辐岛》,17
哈哈哈哈哈哈,16
生物富集,16
哈哈,16
说的对,16
甲 级 战 犯,16
畜生,16
保护海洋！！！！！,16
千古罪人,16
啊,15
保护海洋保护海洋保护海洋,15
？？,15
大核民族,15
保护海洋 保护地球,15
说得好！,15
上热门！！！,15
保护海洋环境,15
坚决抵制日本核废水排海！,15
加大力度,15
全是老人,15
制裁日本,15
好漂亮,14
不要脸,14
勇士,14
保护！,14
都是老年人,14
。,14
这么多全排海里？纯纯找死吗？？？？？？？？？？,14
红豆泥私密马赛,14
世界可以没有日本，但是不能没有海洋,14
加油！,14
反人类罪,14
保护！！！,14
加油加油,14
坚决抵制排放核污水！！坚决抵制排放核污水！！坚决抵制排放核污水！！,14
牛逼,14
狗东西,13
抵制日本排放核污水,13
坚决保护海洋生态！坚决保护地球家园！,13
众所周知，日本发明了最先进的核污染水处理技术，世界应该向日本学习,13
废柴日本,13
都是老人,13
罪人,13
？？？？,13
好！！,13
大佐口音,13
坚决抵制日本核污染水排放,13
必须支持,13
保护大海！,13
狼狈为奸,13
保护海洋！！！保护海洋！！！保护海洋！！！,13
保护海洋生态,13
顶上去,13
？？？？？？,12
《辐核》,12
保护海洋！保护地球！！,12
坚决抵制！！！,12
生化危机,12
坚决抵制核污水排放,12
反人类,12
坚决抵制排放核污水！！！,12
人类清除计划,12
全世界,12
坚决抵制日本排放核污水！！！！！,12
干得漂亮,12
见证历史了,12
保护海洋，人人有责,12
支持！！！！,12
确实,12
坚决抵制日本排放核污水！！！保护地球！！！,12
反对排放！！,12
全球,12
看完了,12
保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！,12
核污染水排海=海陆空生灵皆完蛋=真正的大灭绝！,11
《达标》,11
再见，大海,11
持续关注,11
《安全》,11
.,11
点赞,11
我去,11
哥斯拉要来了,11
太对了,11
世界可以没有日本，但人类不能没有海洋,11
帮他体面,11
坚决抵制日本核污水排海！！！！！,11
反对核污水排海！,11
畜牲啊,11
热度热度,11
坚决抵制日本核污水排海！！保护海洋！！,11
出生啊,11
核污水的基因变异具有遗传性，一次变异后代都携带此变异基因，彻底改变物种基因,11
太好了,11
核污水：使动物患疾病，   寿命大幅度缩短，严重致死。后代畸形，发育不良，严重情况下全部无法存活,11
保护地球！！,11
毁灭吧,11
哦,11
人类补完计划,11
保护海洋!保护地球!,11
森口,11
保护海洋！救救地球！,11
保护海洋！！保护地球！！！,11
他们不懂大海,11
真该死啊,11
保护海洋！抵制日本！,11
已经开始了,11
抵制日本，拯救海洋！！！,11
最正义的一集,11
害人害己,11
坚决抵制日本核污水排海!!!,10
棒子,10
保护海洋，保护地球！！,10
世界可以没有日本，但是不能没有海洋！,10
我听累了 看累了，能不能阻止给个准话,10
……,10
畜生啊,10
快上热门,10
反对不一定有用，但不反对就等同默认和纵容,10
世界可以没有日本，但不可以没有海洋,10
对啊,10
坚决抵制日本排放核污水！！保护生物共同的地球。,10
请您介绍一下为什么日本不自己用掉可靠安全的福岛核电站处理水,10
保护海洋！！！！！！！！！,10
？？？？？？？,10
地球可以没有日本，但是绝对不能没有海洋！！！,10
完了,10
坚决抵制日本核污水排海，坚决抵制与日本有关任何产品！！！坚决抵制日本核污水排海，坚决抵制与日本有关任何产品！！！坚决抵制日本核污水排海，坚决抵制与日本有关任何产品！！！坚决抵制日本核污水排海，坚决抵制,10
保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！,10
保护海洋!保护海洋!,10
日本产品最好都别买了,10
希望蓝色健康的海洋永在！,10
海洋不是日方排放核污水的下水道！,10
保护海洋！保护地球！！！,10
保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋,10
↓甲级战犯↓,10
反对日本核污水排海！,10
坚决抵制日本排核污染水！,10
保护海洋！保护海洋！保护海洋,10
地球可以没有日本，但不能没有海洋！！！,10
停止强推核污染水排海计划！以负责的方式处置核污染水！,10
意料之中,10
顶顶顶,10
《承诺》,10
勇士！,10
保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！,10
措施呢？,10
反对日本核污水排海,10
保护地球保护海洋！,10
保护地球！保护我们唯一的家园！！！,10
天,9
可怕,9
有,9
倭寇,9
世界上可以没有日本，但不能没有海洋！！！,9
珍爱生命，远离日货,9
山川异域，不共戴天,9
山川异域，不共戴天！,9
保护地球！保护海洋！！,9
挥向地球的刀刃，总有一天刺回到人类本身的！,9
多吃点,9
辛苦了,9
保护海洋生态环境,9
就像b站的某位网友说的大家可以看到相关视频就点赞+20字以上评论，表达抵制态度即可     成为流量中的一份子。另外，也希望大家不要过度恐慌，也尽量不要过度消费。不论是否发生，解决是相关专业领域的,9
世界可以没有日本，但不能没有海洋！！！！,9
保护人类,9
坚决抵制，保护海洋，保护地球！,9
坚决抵制日本排放,9
活该,9
大力支持,9
拯救海洋！拯救地球！拯救我们的未来！,9
美国,9
保护海洋！！！！！！！,9
海洋是世界的！,9
世界可以没有日本但决不能没有大海！,9
——核污染水排海=大灭绝开启！,9
保护地球保护海洋！！！,9
好!,9
然并卵,9
众所周知，日本发明了最先进的核污水处理技术，世界应该向日本学习。,9
东风快递，使命必达,9
保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！,9
保护地球保护海洋！！！！！,9
见证历史，铭记历史,9
！！！,9
一言为定,9
百氚东倒海,9
保护海洋！保护地球！​,9
可怜,9
坚决抵制排放核污染水！！,9
无语,9
坚决抵制日本排核污水入海！,8
屁话一堆，一句有用的没有,8
好好好！,8
祖国万岁,8
命运的齿轮开始转动,8
赞同,8
保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！,8
夺少？,8
太可恶了,8
加油啊,8
环保少女呢？,8
嬉皮笑脸,8
见证历史！！,8
言之有理,8
草,8
核污染水排海——赤裸裸的荼毒涂炭、毁灭灭绝！,8
核污染水,8
已经结束了,8
艹,8
热度热度热度,8
坚决抵制日本核污染水排海！！！！,8
日本凭什么用核武器攻击我们领海,8
有用吗？,8
拒绝日货，从你我做起,8
坚决抵制核污染水排放。,8
反对核污水排放,8
保护海洋保护海洋保护海洋保护海洋,8
保护地球，保护海洋，保护唯一的家园,8
晚安，大海,8
保护环境,8
有谁能把靖国神社再烧一遍,8
保护海鲜,8
服了,8
环保少女？请你也来抵制核污染水排放！,8
坚决抵制核污水排海！,8
说的好！,8
出生日本,8
因为美国,8
保护地球！！保护海洋！！,8
热度上去,8
反对排放核污染水,8
明白人,8
《许多》,8
天啊,8
坚决抵制核污水排海！！,8
不止水产品，是全部日本产品。,8
EVA,8
该,8
《划算》,8
保护海洋人人有责,8
就是,8
坚决抵制日本核污水排放入海！,8
《理论上》,7
保护地球！保护我们唯一的家园！,7
反对排海,7
保护地球，保护海洋！！！！,7
9,7
不许污染大海！,7
抵制！,7
措施呢,7
干得好,7
名场面,7
核污水,7
见证历史 ,7
问得好,7
保护海洋！保护人类！,7
私密马赛,7
勇士！！！,7
拒绝日货，从你我做起！,7
见证历史。,7
见证,7
斯密马赛,7
不准双标，要可怜一起可怜，要谢谢一起谢谢↑,7
反对排放！！！！,7
坚决抵制日本核污水排海！！！守护我们共同的家园！！！,7
从此之后，日本对于世界就有了原罪！,7
保护海洋，,7
！,7
保护地球！保护海洋！保护人类！,7
历史罪人,7
保护海洋，人人有责！！！,7
世界可以没有日本，但不能没有海洋!,7
保护海洋，保护地球!,7
?,7
天哪,7
感谢字幕君,7
地球可以没有日本！但是不能没有海洋！坚决抵制小日子核污水排海！,7
牛,7
阿古茹！,7
负责,7
坚决抵制日本排放核污染水！！,7
反对排放核污水入海，生命至上！,7
真不要脸,7
地球可以没有日本，但是不能没有海洋,7
我们联合！！,7
哭了,7
顶顶,7
抵制日本产品,7
团结起来，全球人应该全面禁止抵制日本所有物品,7
说得对,7
哈哈哈哈哈哈哈哈,7
保护地球！！！！！,7
《必要措施》,7
日本政府宣布要将核污染水排放入海,7
噔噔咚,7
30年,7
海洋是地球切生命的摇篮，生命诞生之地不能遭受破坏,7
呸,7
保护大海！！,7
好！！！！！,7
辐核,7
有辐同享,7
保护地球保护海洋！！保护地球保护海洋！！保护地球保护海洋！！,7
有一份光发一份热,7
太坏了,7
悲哀,7
世界可以没有日本，但不能没有海洋。,7
都是老人啊,7
此地无银三百两,7
氨醛,7
加热度,7
是啊,7
《氨醛》,7
除非找好另一个地球了，否则放任日本排核污水就是个愚蠢至极的行为,7
《环保》,7
那你喝啊,7
小日子,7
制裁,7
注意安全啊！,7
加热度加热度加热度加热度加热度加热度,7
保护好自己,7
保护地球 保护海洋,7
。。。。,6
见证牛魔,6
哎……,6
保护海洋 保护海洋 保护海洋 保护海洋 保护海洋 保护海洋       保护海洋 保护海洋！！！保护海洋 保护海洋 保护海洋 保护海洋 保护海洋 保护海洋       保护海洋 保护海洋！！！,6
热度热度热度热度,6
好帅,6
无语了,6
反对日本核污水排海！！！,6
有一份热发一分光,6
大力支持！,6
完蛋,6
大快人心,6
注意安全！！,6
世界可以没有日本，但绝不能没有海洋,6
保护大海！！！,6
666666,6
保护大海！保护地球！,6
保护海洋！！！！！！！！！！,6
世界可以没有日本，但不能没有海洋！！！,6
笑死我了,6
覆水难收,6
氢弹,6
神奈氚冲浪里,6
坚决抵制排放,6
支持支持！！！,6
愤怒,6
《几十位》,6
就这？,6
保护地球，守护最后的海洋！,6
气死了,6
坚决抵制日本排放核污水！！保护生物共同的地球！,6
日本滚出地球,6
好样的,6
氚流不息,6
丧心病狂,6
抵制抵制,6
有一份热发一分光！,6
世界上可以没有一个小岛，但不能没有一片干净的海洋,6
保护地球，保护人类，守护未来保护地球，保护人类，守护未来保护地球，保护人类，守护未来保护地球，保护人类，守护未来保护地球，保护人类，守护未来保护地球，保护人类，守护未来保护地球，保护人类，守护未来保护,6
保护世界！！保护海洋！！！,6
同意,6
无耻,6
坚决抵制日本排放核污水！！！​,6
坚决抵制日本核污染水排海！！保护海洋！保护地球！保护未来！！！,6
大核冥族,6
注意防护,6
智齿,6
地球可以没有日本，不能没有海洋！,6
我吃柠檬,6
守护海洋，保护海洋生物，守卫我们共同的家园，地球！,6
人类之癌,6
我信你个鬼,6
啊这,6
支持！！！！！,6
毫不意外,6
Stop this now!,6
反对核污染水排海！,6
没吃饭？,6
打倒日本帝国主义,6
热度上去！,6
感谢祖国,6
坚决抵制日本排放核污水！！！保护海洋！！！保护整个地球！,6
坚决抵制日本核污水排海保卫碧水蓝天,6
《氨  醛》,6
污染地球,6
反对排放！反对排放！反对排放！反对排放！反对排放！反对排放！反对排放！反对排放！反对排放！反对排放！反对排放！反对排放！反对排放！反对排放！反对排放！反对排放！反对排放！反对排放！反对排放！反对排放！,6
保护海洋！！！永不妥协！！！,6
坚决抵制日本排放核污水！！！保护海洋！！！,6
乌贼娘！,6
坚决抵制日本排核污染水,6
有道理,6
。。。。。,6
坚决抵制日本核污水排海！！！保护海洋！！！坚决抵制日本核污水排海！！！保护海洋！！！,6
反对无效,6
反对排放核污染水！！,6
绷不住了,6
救命,6
反对！,6
身在辐中不知辐,6
损人不利己,6
我想让你回答问题,6
????,6
馹 本 人 质 商 低,6
保护地球保护海洋！！,6
@联合国,6
是！,6
好耶,6
我们对100万欧元有信心,6
珍爱生命，远离日货！,6
哪位地理好的介绍下，那个时间段洋流方向是向东还是向西啊？,6
会,6
注意看，咬牙切齿！！！,6
救救海洋,6
@环保少女,6
寄,6
怎么办啊,5
记者注意安全,5
好狗,5
bgm好评,5
抵制日本排核污水入海！！!！！！！！！！,5
好样的！,5
藻类生产的氧气占全世界的百分之九十……如果大海里的藻类不再生产氧气了呢！！​,5
把日本炸了,5
阿古茹！！！,5
一丘之貉,5
天呐,5
变相核攻击,5
炸裂,5
地球需要海洋！保护地球！保护海洋！地球需要海洋！保护地球！保护海洋！地球需要海洋！保护地球！保护海洋！,5
祸害全人类,5
坚决抵制日本核污水排放！保护我们共同生活的地球！,5
百氚东到海，核时复西归,5
保护海洋，保护海洋，保护海洋,5
日本生可乐,5
核岛辐电站,5
幽默,5
世界可以没有日本，但是不能没有干净的大海！,5
保护海洋，保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋,5
、,5
没有精神,5
救救地球救救海洋救救人类吧！！！​,5
历史的罪人,5
上热门！！,5
坚决抵制日本排放核污水！！！！！！​,5
《干净》,5
世界可以没有日本，但不能没有大海,5
赞,5
坚决抵制日本排放核污水！！！保护地球！！！保护海洋！！！,5
非常的新鲜，非常的美味,5
绝了,5
怎么办？,5
热门,5
诶,5
已经结束嘞,5
大内久,5
呵,5
永不妥协,5
一针见血,5
干净又卫生,5
世界可以没有日本，但不可以失去大海！！！,5
自作自受,5
说的太对了,5
现在更有名了,5
保佑海洋保佑生灵！南无阿弥陀佛南无宝髻如来！天给善灵善报！给恶灵天谴！祈祷！,5
乌贼娘,5
谴责,5
保护地球保护海洋！！！！保护地球保护海洋！！！！,5
环保少女出来挨打,5
抵制日本核污水排海,5
出生,5
坚决抵制日本排放核污水，保护地球！,5
讽刺,5
别玩核电，你们不配,5
顶！,5
初生啊,5
坚决抵制排放核污染水,5
抵制排放,5
《更容易扩散》,5
 保护海洋！保护地球！,5
有理有据,5
强烈抵制日本核污水入海！,5
（转发）世界可以没有日本，但不能没有海洋！拒绝麻木，不做冷漠的看客！正如鲁迅先生的说的：“你可以躲在角落里沉默，但是不要诋毁和嘲笑比你勇敢的人，因为他们争取到的光明也许会照耀到你”。宁可痛苦，,5
《稀释》,5
世界可以没有日本,5
保护地球！保护大海！,5
保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！,5
疯子,5
保护全球海洋生态环境！,5
坚决抵制日本,5
《科学》,5
注意安全！！！,5
坚决抵制日本排海,5
全世界人民联合起来保护我们的地球！！！保护我们的生命家园！！！人类不能失去海洋！！！​,5
保护海洋，拯救地球,5
保护海洋！人人有责！,5
是核污水,5
我还没亲眼看过大海，拒绝核排,5
我的天,5
保护地球！！！保护海洋！！！保护地球！！！保护海洋！！！,5
+,5
强烈谴责,5
保护海洋！！DIZHIRIHUO！！,5
绝对支持,5
用核弹炸掉最省事,5
哈哈哈哈哈哈哈,5
岸田、东电——畜生要灭绝全人类、灭绝海陆空生灵！,5
漂亮！,5
该！,5
抵制排海,5
炸了吧,5
目之所及 都是  假话 空话 漂亮话,5
世界可以没有日本，但不能没有海洋​,5
负责？,5
为世界上所有的美好而战,5
盖革计数器，矿石收音机，这俩都是保命用的东西,5
嘴炮,5
真正的武士,5
日本鬼子,5
支持国家！呼吁发起全国“坚决​反对日本核污染水排​海计划”的联名！呼吁抵制所有日货，直至其做出改正，以各国可接受的方式正确处理核污水！！！​,5
加大力度！,5
说到做到,5
畜生日本,5
《泄露》,5
可恶,5
太棒了,5
造孽啊,5
已经开始排了,5
保护海洋！！！保护地球！！！保护海洋！！！保护地球！！！,5
众所周知，日本发明了最先进的核污水处理技术， 世界应该向日本学习,5
保护地球保护海洋！！！！,5
记者辛苦了,5
yue,5
保护大海！！！保护人类！！！,5
保护海洋环境人人有责,5
我们联合！！！,5
保护地球!,5
抵制核污水排放,5
抵制核污水排海,5
福光岛,5
太惨了,5
难绷,5
君子生于小国，非君子之过也,5
地球可以没有日本，但是不能没有海洋。,5
保护地球！保护地球！保护地球！,5
世界可以没有日本，但大海绝不能被污染！,5
珍爱生命远离日货,5
海的那边是敌人,5
保护海洋保护海洋保护海洋保护海洋保护海洋,5
停止排海,5
坚决抵制！！,5
坚决抵制核污水排海！！！,5
知小礼而无大义,5
地球之癌,5
恨死日本,5
两面包夹芝士,5
2,5
怎么办,5
你这背景太假了,5
保护地球!!!保护海洋!!!,5
EVAの小曲,5
保护人类！保护家园！保护海洋！保护世界！！！！！,4
保护海洋生态！维护地球家园！！！保护海洋生态！维护地球家园！！！保护海洋生态！维护地球家园！！！,4
越看越气,4
可悲,4
拒绝核废水排海，它们自己用，别排海，海洋又不是它们的,4
？？？？？？？？？,4
保护海洋保护海洋,4
保护海洋！保护地球,4
再见了大海,4
自欺欺人,4
《海纳百氚》,4
《良知》,4
坚持抵制日本排放核污水！！！,4
若至,4
饮用水里面有没有概率出现氚和碳14？,4
呵呵呵,4
保护海洋！保护海洋！保护海洋！保护地球！,4
哥斯拉元年,4
《最终没喝》,4
◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥-坚决抵制日本排放核污水-◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥,4
坚决抵制日本核污水排海！！！！！！！！！,4
日本停止排放核污水！日本停止排放核污水！,4
哥斯拉养殖计划,4
姐姐注意安全,4
woc,4
保护地球，人人有责,4
日本,4
春来,4
严厉谴责,4
脸都不要了,4
让他们自己喝,4
世界不能没有海洋！,4
干他,4
《努力》,4
阿弥陀佛,4
保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋,4
坚决抵制日本排放核污水入海！！！,4
坚决抵制日本排核污水！！！,4
没错,4
我,4
地球不需要日本，但人类需要海洋！！！地球は日本を必要としませんが、人類は海を必要とします! !,4
必要措施呢？,4
然后呢,4
坚决抵制核污水,4
甲级战犯↓,4
第三次冲击,4
不负责任,4
《转头》,4
出生登场,4
世界可以没有日本，但世界不能没有海洋,4
可以没有日本，但不能没有海洋,4
坚决抵制日本产品！！！,4
遥遥领先,4
李记者说得对,4
果然,4
自取灭亡,4
好惨,4
支持和不反对的区别还是很大的,4
坚决抵制日本排放核污水！！保护海洋！！保护地球！！,4
堅決抵制日本核廢水排海,4
放屁,4
抵制日本排放核污水！,4
保护海洋！保护地球！我们必须阻止核污染水排海计划，这是对地球的犯罪，这是对海洋母亲的犯罪，海洋应该是美丽澄澈的，大自然应该是美丽的，而不是被核污染所侵害的，这是对海洋的一次犯罪，也是对世界对小动物，对,4
 保护海洋,4
世界可以没有日本，但不能失去海洋,4
保护海洋！！！！！！！！,4
死亡搁浅,4
坚决抵制！！！！,4
保护大海，保护地球,4
噗,4
WC,4
8.24,4
《处理水》,4
小鬼子,4
《绝不》,4
环太平洋,4
笑死了,4
地球上可以没有日本，但是不能没有海洋,4
原子弹下无冤魂,4
日本核污水排海，祸害包括我在内的世界人民及后代，我凭什么要日货。,4
保卫我们的未来,4
老朋友,4
央视新闻,4
出省,4
保护海洋，反对排放,4
真的服了嗷这东西长期饮用对身体伤害无限挤压人的身体状况参差不齐，如果排放将会是全球最大灭亡事件,4
不允许他们谈论排海的事情,4
审理福岛县六名甲状腺癌患者起诉东京电力公司的案件,4
三连,4
明天,4
不止食品，所有的日产品都别用了，不知它们用毒水生产了什么,4
保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋,4
保护地球，保护海洋，保护我们的下一代。,4
，,4
好人啊,4
切尔诺贝利,4
保护海洋，保护地球！！！！！！！,4
致敬！,4
…,4
说的太好了,4
谁来为结果负责,4
世界可以没有日本，但不能没了海洋,4
斐济,4
反对排放核污水！！,4
还有一个小时,4
海洋不是日本的下水道！,4
保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！,4
她好漂亮,4
"对自己国民都这样子了，别指望小日子会关心世界其他地区的人民，虚伪，变_态,躬匠。",4
就像b站的某位网友说的：大家可以看到相关视频就点赞+20字以上评论，表达抵制态度即可。成为流量中的一份子。另外，也希望大家不要过度恐慌，也尽量不要过度消费。不论是否发生，解决是相关专业领域的同胞做,4
太好啦,4
罪孽深重,4
两面包夹芝士！,4
反对核污水排放！,4
上热门！！！！,4
划重点：如果真出了问题到时候再说,4
保护地球，保护海洋！！,4
压力马斯内,4
好啊,4
在b站看见关于和污水的视频，我直接点赞！,4
非常支持,4
害怕,4
为海洋发声，保护我们的地球！！！,4
人类完了,4
坚决抵制日本核污染水排放入海！！！,4
臭不要脸,4
全世界人民都向日本索赔因核污染物所受到的伤害！,4
保护海洋! 保护家园! 保护海洋! 保护家园! 保护海洋! 保护家园! 保护海洋! 保护家园!,4
《公开透明》,4
保护海洋！！保护海洋！！,4
加热度加热度加热度,4
把日本炸了吧,4
水是剧毒的,4
没错！,4
说到点子上了,4
6666,4
冥场面,4
地球可以没有日本，但不能失去海洋！,4
绝不妥协！,4
保护海洋，保护地球，保护健康！！！,4
水循环,4
日本向大海排放核污染水是反人类罪行,4
顶顶顶顶,4
太逆天了,4
有小礼而无大义,4
日本水,4
多喝点,4
心疼,4
它们用核武器污染咱们领海，不就是核武器攻击吗？​,4
它排了不得告它们吗？它们用核武器污染咱们领海，不就是核武器攻击吗？​,4
相信后人的智慧,4
保护大海！保护全人类的健康！！保护大海！保护全人类的健康！！保护大海！保护全人类的健康！！保护大海！保护全人类的健康！！保护大海！保护全人类的健康！！保护大海！保护全人类的健康！！！保护大海！保护全人,4
要排30年,4
日本出生,4
《氚流不息》,4
谁为海洋生物发声啊,4
应该全面禁止日本所有产品，不然他们会通过别的地方重新包装出售,4
格局,4
上热度呀，上热度呀！,4
开战,4
人民万岁,4
核污水：使动物患疾病，寿命大幅度缩短，严重致死。后代畸形，发育不良，严重情况下全部无法存活,4
日本真不要脸,4
坚决抵制日本排核污水！,4
海贼王现在就是个笑话,4
保护海洋生态！！！,4
只考虑人？,4
招核男儿,4
保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋,4
父慈子孝,4
没用的,4
拒绝麻木，不做冷漠的看客！正如鲁迅先生的说的：“你可以躲在角落里沉默，但是不要诋毁和嘲笑比你勇敢的人，因为他们争取到的光明也许会照耀到你”。​,4
遗臭万年,4
听不见！,4
人类可以没有日本，但人类不能没有海洋！,4
………,4
见证缑氏,4
世界可以没有日本，但不能没有大海！,4
赞成,4
缺德,4
有一份光发一份热！,4
看看水颜色比第一天排水的时候黑多少啊,4
宣战,4
封口费,4
坚决抵制日本排放和污水！！！,4
世界可以没有日本和霉国，不能没有蓝色海洋,4
睁眼说瞎话,4
海洋是另外一个世界，是数以万计生物的家园！坚决保护海洋生态！坚决保护地球家园！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！海,4
《权威》,4
上百名,4
保护海洋生态，保护地球,4
细说必要措施,4
唉！,4
记者好漂亮,4
日本故意的,4
很难不支持,4
核污染水中含上百种放射性核素——岸田、东电等畜生要灭绝人类、灭绝海陆空生灵！,4
一年后,4
